Date,RUSSIA
2000-12-29,100.00
2001-01-01,100.00
2001-01-02,99.96
2001-01-03,89.53
2001-01-04,98.90
2001-01-05,101.70
2001-01-08,101.82
2001-01-09,104.08
2001-01-10,110.22
2001-01-11,113.80
2001-01-12,114.12
2001-01-15,117.45
2001-01-16,116.00
2001-01-17,121.97
2001-01-18,119.45
2001-01-19,121.13
2001-01-22,116.16
2001-01-23,118.84
2001-01-24,124.64
2001-01-25,125.48
2001-01-26,125.86
2001-01-29,119.88
2001-01-30,119.81
2001-01-31,119.41
2001-02-01,116.65
2001-02-02,117.80
2001-02-05,112.40
2001-02-06,115.78
2001-02-07,113.17
2001-02-08,116.28
2001-02-09,114.28
2001-02-12,114.82
2001-02-13,120.63
2001-02-14,120.96
2001-02-15,127.83
2001-02-16,121.32
2001-02-19,118.53
2001-02-20,117.25
2001-02-21,106.80
2001-02-22,111.46
2001-02-23,106.78
2001-02-26,110.86
2001-02-27,108.15
2001-02-28,109.40
2001-03-01,106.98
2001-03-02,107.52
2001-03-05,113.34
2001-03-06,119.75
2001-03-07,121.63
2001-03-08,121.69
2001-03-09,121.68
2001-03-12,116.17
2001-03-13,115.98
2001-03-14,109.78
2001-03-15,113.30
2001-03-16,114.45
2001-03-19,117.71
2001-03-20,117.33
2001-03-21,113.71
2001-03-22,112.51
2001-03-23,112.80
2001-03-26,114.02
2001-03-27,113.64
2001-03-28,111.85
2001-03-29,108.35
2001-03-30,108.55
2001-04-02,107.18
2001-04-03,102.99
2001-04-04,101.31
2001-04-05,107.59
2001-04-06,105.94
2001-04-09,106.82
2001-04-10,108.65
2001-04-11,110.92
2001-04-12,109.42
2001-04-13,110.82
2001-04-16,109.38
2001-04-17,107.59
2001-04-18,111.36
2001-04-19,113.86
2001-04-20,109.80
2001-04-23,106.81
2001-04-24,108.66
2001-04-25,109.71
2001-04-26,113.98
2001-04-27,118.41
2001-04-30,118.39
2001-05-01,118.39
2001-05-02,118.50
2001-05-03,120.33
2001-05-04,121.29
2001-05-07,124.27
2001-05-08,127.71
2001-05-09,127.86
2001-05-10,129.97
