Date,UK
1998-12-31,3264.622075421428
1999-01-01,3264.622075421428
1999-01-04,3253.9345841944582
1999-01-05,3295.3878085677575
1999-01-06,3398.096410144799
1999-01-07,3354.637108152374
1999-01-08,3355.0265775659714
1999-01-11,3322.196428004028
1999-01-12,3276.5478051553837
1999-01-13,3223.6138190370084
1999-01-14,3212.6201715518055
1999-01-15,3263.4344059103896
1999-01-18,3353.0417199903363
1999-01-19,3314.5250558200987
1999-01-20,3331.237602964583
1999-01-21,3297.9556949998428
1999-01-22,3218.2043729042557
1999-01-25,3239.608410494666
1999-01-26,3246.1085015703748
1999-01-27,3230.466815759071
1999-01-28,3226.6102197627133
1999-01-29,3225.4100467491257
1999-02-01,3285.5590761777275
1999-02-02,3302.6637697259116
1999-02-03,3246.0506851134196
1999-02-04,3246.213720339866
1999-02-05,3198.5312052920135
1999-02-08,3177.4440645664645
1999-02-09,3155.3872984382942
1999-02-10,3136.4580076121574
1999-02-11,3198.6646303962357
1999-02-12,3234.802952092087
1999-02-15,3268.1852471856464
1999-02-16,3318.0443510636237
1999-02-17,3310.864663610474
1999-02-18,3310.683509731509
1999-02-19,3276.262216016226
1999-02-22,3282.23660499913
1999-02-23,3299.274830841858
1999-02-24,3354.241207433287
1999-02-25,3316.1383667573305
1999-02-26,3296.368729562759
1999-03-01,3258.6237894049314
1999-03-02,3279.2461132393814
1999-03-03,3276.25891874793
1999-03-04,3281.5296510886974
1999-03-05,3339.520047108589
1999-03-08,3341.613453368233
1999-03-09,3373.583081197316
1999-03-10,3406.598400123377
1999-03-11,3450.4880119515637
1999-03-12,3445.3251753703885
1999-03-15,3379.9610427611838
1999-03-16,3383.697370080283
1999-03-17,3358.7359064605066
1999-03-18,3339.8793514142103
1999-03-19,3360.9597996645048
1999-03-22,3351.2200935184715
1999-03-23,3311.2024867028385
1999-03-24,3317.1976060359216
1999-03-25,3329.6051286957686
1999-03-26,3332.3524387571183
1999-03-29,3396.0051585357255
1999-03-30,3395.0773529418907
1999-03-31,3414.242839175184
1999-04-01,3406.7905557787367
1999-04-02,3404.4573630276536
1999-04-05,3398.7226952437477
1999-04-06,3418.9471595858668
1999-04-07,3459.9552200929616
1999-04-08,3479.0441835848073
1999-04-09,3485.888594350811
1999-04-12,3492.2062909911665
1999-04-13,3539.7659583103214
1999-04-14,3530.331722851885
1999-04-15,3505.021956702882
1999-04-16,3483.855159198693
1999-04-19,3533.168287680777
1999-04-20,3447.398243034502
1999-04-21,3423.9734370256265
1999-04-22,3482.8190987368375
1999-04-23,3498.8067039032535
1999-04-26,3532.2194905669976
1999-04-27,3588.818014965034
1999-04-28,3583.929765746622
1999-04-29,3516.8609454282946
1999-04-30,3545.4411773262336
1999-05-03,3545.4411773262336
1999-05-04,3555.287473383029
1999-05-05,3505.376070259403
1999-05-06,3523.7832827232387
1999-05-07,3486.206437956074
1999-05-10,3472.2128639533253
1999-05-11,3468.663207724499
1999-05-12,3445.4832483712808
1999-05-13,3504.4144431808672
1999-05-14,3424.4396250579966
1999-05-17,3352.744998489901
1999-05-18,3377.707278265196
1999-05-19,3406.0237613456616
1999-05-20,3444.3206185115605
1999-05-21,3415.106103190588
1999-05-24,3377.9075954757436
1999-05-25,3352.4078283219515
1999-05-26,3337.997427372613
1999-05-27,3322.797281697009
1999-05-28,3345.4132775866988
1999-05-31,3347.1886117175336
1999-06-01,3376.930885843219
1999-06-02,3412.5675983571814
1999-06-03,3424.4494189242228
1999-06-04,3434.4188565257036
1999-06-07,3458.852593986988
1999-06-08,3474.1751303441993
1999-06-09,3473.5237403014903
1999-06-10,3454.254439086198
1999-06-11,3510.4184749322167
1999-06-14,3482.9074394101985
1999-06-15,3462.8012196796517
1999-06-16,3480.671793566729
1999-06-17,3478.210725568952
1999-06-18,3496.560545976701
1999-06-21,3519.6066884710485
1999-06-22,3506.006403489726
1999-06-23,3452.1432079900233
